price,Address,area,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft
29900000,"Lloyd Estate Cooperative Housing Society Vidyalankar College Road Antop Hill Wadala East Mumbai Maharashtra 400037, Antop Hill, Mumbai - Central Mumbai, Maharashtra",1315,3,3,1,3,3,22737.64259
6300000,"Guru ataman near virindawan residency circle yogidham kalyan west Mumbai  421301, Kalyan, Mumbai - Around Mumbai, Maharashtra",890,2,2,2,1,2,7078.651685
16000000,"Laxmi Tower bldg, om nagar, dhuri complex, vasai road west, pin :401202, Vasai West, Mumbai - Mira Road and Beyond, Maharashtra",1650,3,3,3,1,1,9696.969697
21000000,"4, Kanjur Village Rd, Saikrupa Society, Indira Nagar, Kanjurmarg East, Mumbai, Maharashtra 400042, India, Kanjurmarg East, Mumbai - Central Line, Maharashtra",1150,2,2,1,1,2,18260.86957
42000000,"Preksha Cooperative Housing Society 169 Dr Baba Saheb Ambedkar Road Dadar TT Dadar East Mumbai Maharashtra 400014, Dadar TT Circle, Mumbai - Central Mumbai, Maharashtra",950,2,2,1,1,2,44210.52632
5500000,"Block no-A77, room no-458 behind anmol palace near hemraj dairy Ulhasnagar-1, Ulhasnagar, Mumbai - Around Mumbai, Maharashtra",1100,2,2,1,1,1,5000
45000000,"Mazgaon, Mumbai - South Mumbai, Maharashtra",1350,3,3,1,1,1,33333.33333
26000000,"Yogi Nagar, Borivali West, Mumbai- 400098., Yogi Nagar, Mumbai - North Mumbai, Maharashtra",1250,3,2,1,1,1,20800
230000000,"Khan abdul gaffar khan marg., Worli Sea Face, Mumbai - South Mumbai, Maharashtra",2555,3,3,1,2,2,90019.56947
16400000,"Chaphekar Bandhu Marg Hanuman Chowk, Mulund East, Mumbai - Central Line, Maharashtra",885,2,2,1,1,1,18531.07345
17000000,"Thakur village, kandivali east, Kandivali East, Mumbai - North Mumbai, Maharashtra",795,2,2,1,1,1,21383.6478
15000000,"400065 Near Mantri park, off film city road, Goregaon East, Mumbai - Western Suburbs, Maharashtra",1017,2,2,1,1,2,14749.26254
26000000,"Andheri East, Mumbai, Chakala, Mumbai - Western Suburbs, Maharashtra",1090,2,2,1,1,2,23853.21101
39000000,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",1350,2,2,1,1,5,28888.88889
14500000,"A202 Chandradarshan Chs Malvani, Marve road, Malad west, Mumbai 400095, Malad West, Mumbai - Western Suburbs, Maharashtra",850,2,2,1,1,1,17058.82353
15000000,"Runwal Forest LBS Road Kanjurmarg West Mumbai Maharashtra 400078, Kanjurmarg, Mumbai - Central Line, Maharashtra",634,2,2,1,1,3,23659.30599
14500000,"Gulmohar Cooperative Housing Society Building Number H5 Pratiksha Nagar Road Sion East Mumbai Maharashtra 400022, Pratiksha Nagar, Mumbai - Western Suburbs, Maharashtra",811,2,2,1,1,1,17879.16153
34500000,"402; Himgiri; Vidya Vihar East, Vidya Vihar, Mumbai - Central Line, Maharashtra",1400,3,3,2,1,2,24642.85714
38500000,"New Devrup Cooperative Housing Society Building Number 1 Daulat Nagar Relief Road Santacruz West Mumbai Maharashtra 400054, Santacruz West, Mumbai - Western Suburbs, Maharashtra",1112,2,2,1,2,1,34622.30216
4300000,"Bhiwandi Thane, Bhiwendi, Mumbai - Around Mumbai, Maharashtra",795,2,2,3,1,2,5408.805031
23000000,"D701 Pratap nagar, Malad East, Mumbai - North Mumbai, Maharashtra",1200,3,3,1,1,1,19166.66667
62500000,"La View Cooperative Housing Society Bapu Jagtap Marg Jacob Circle Mahalaxmi Mumbai Maharashtra 400011, Mahalakshmi, Mumbai - South Mumbai, Maharashtra",1600,4,5,1,2,2,39062.5
20000000,"Natwar Nagar, Jogeshwari East, Mumbai - Western Suburbs, Maharashtra",750,2,2,1,1,2,26666.66667
14500000,"B-804, Accel Belvedere, gaodevi road, near mathodish church, behind bhandup police station, off lbs road, bhandup west, Gaon Devi, Mumbai - Central Line, Maharashtra",925,2,2,1,1,1,15675.67568
11000000,"Galaxy Apartment Qureshi Nagar Kurla East Mumbai Maharashtra 400070, Kurla East, Mumbai - Central Line, Maharashtra",920,2,2,2,1,2,11956.52174
26000000,"Malad East, Mumbai - North Mumbai, Maharashtra",850,2,2,1,1,5,30588.23529
20000000,"Western Express Highway, Jogeshwari East, Mumbai - Western Suburbs, Maharashtra",900,2,2,2,1,2,22222.22222
29500000,"Sindhi Colony RL Kelkar Road Sion West Mumbai Maharashtra 400022, Sion West, Mumbai, Maharashtra",1200,3,2,1,1,1,24583.33333
23500000,"esidency opp lodha eternis off mahakali  road andheri east Mumbai 400093, Andheri East, Mumbai - Western Suburbs, Maharashtra",1155,2,2,1,1,1,20346.32035
37500000,"c-601, Falcon Castel, Senapati Bapat Marg, Opposite On India Bull, Lower Parel, Mumbai.Maharshtra-400013, Lower Parel, Mumbai - South Mumbai, Maharashtra",1180,2,3,2,1,2,31779.66102
19500000,"Blue Meadows, Adj Nature's Basket and Majas Bus Depot, Jogeshwari East, Mumbai - Western Suburbs, Maharashtra",820,2,2,4,1,1,23780.4878
16000000,"D-701, Silver Oaks, Off. L B S Marg, Vasant Gardens, Near Swapana Nagari, Mulund-west, Mumbai-400080., Mulund West, Mumbai - Central Line, Maharashtra",890,2,2,1,1,1,17977.52809
27500000,"deonar pada road, mumbai, Deonar, Mumbai - Harbour Line, Maharashtra",1250,3,2,1,2,2,22000
46500000,"Naperol Tower, R.A. Kidwai Road, Wadala (W), Wadala West, Mumbai - Harbour Line, Maharashtra",1580,3,4,1,1,1,29430.37975
47500000,"Agripada, Mumbai - South Mumbai, Maharashtra",1400,2,2,1,1,2,33928.57143
15000000,"A-6/4 Amravan CHS Flat No. 35, LIC Colony, Borivali West, Opp. Shanti Ashram Bus Depot, Mumbai 400103, LIC Colony - Borivali West, Mumbai - North Mumbai, Maharashtra, LIC Colony - Borivali West, Mumbai - North Mumbai, Maharashtra",1000,2,2,1,1,1,15000
45000000,"Village Gundavali Suren Road Off Western Express Hwy Andheri Maharashtra, Andheri East, Mumbai - Western Suburbs, Maharashtra",1790,3,3,1,1,2,25139.6648
33000000,"The Baya Park Cooperative Housing Society Senapati Bapat Marg Dadar West Mumbai Maharashtra 400028, Dadar West, Mumbai - South Mumbai, Maharashtra",925,2,2,1,2,2,35675.67568
90000000,"Orchid Enclave Cooperative Housing Society Bellasis Road Mumbai Central Mumbai Maharashtra 400008, Mumbai Central, Mumbai - South Mumbai, Maharashtra",2650,4,4,6,2,4,33962.26415
