price,area,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft
20000000,862,2,2,2,1,1,23201.85615
24000000,1143,2,2,1,2,2,20997.37533
69500000,2200,3,4,1,2,10,31590.90909
9000000,1050,2,2,4,1,1,8571.428571
19000000,1350,3,3,1,1,2,14074.07407
130000000,2800,4,4,1,1,2,46428.57143
22500000,1091,2,2,1,1,2,20623.28139
22500000,1250,3,3,1,1,2,18000
19500000,702,2,2,1,1,1,27777.77778
26000000,1100,2,2,1,1,2,23636.36364
16500000,1120,2,2,1,1,2,14732.14286
115000000,2500,3,4,1,3,4,46000
24000000,1530,3,3,1,1,1,15686.27451
70000000,2205,3,3,3,2,1,31746.03175
47500000,2100,3,3,2,1,2,22619.04762
24000000,1550,2,2,1,1,4,15483.87097
95000000,2500,5,4,1,2,2,38000
33000000,1350,2,2,1,1,1,24444.44444
35000000,1800,3,3,4,2,7,19444.44444
29900000,1080,2,2,2,1,1,27685.18519
19500000,1020,3,2,1,1,1,19117.64706
17000000,800,2,2,1,1,1,21250
23000000,1050,2,2,1,1,1,21904.7619
36500000,2000,4,4,4,1,1,18250
16500000,1050,2,2,1,1,2,15714.28571
47500000,1300,2,2,4,2,2,36538.46154
34000000,1370,3,3,1,2,2,24817.51825
29000000,1500,4,4,2,1,1,19333.33333
38000000,815,2,2,1,1,1,46625.76687
15000000,960,2,2,2,1,1,15625
52500000,2300,3,3,2,2,5,22826.08696
42000000,1250,3,3,1,1,1,33600
32500000,1715,2,2,5,2,1,18950.43732
25900000,924,2,2,1,1,2,28030.30303
20500000,1150,2,2,1,1,1,17826.08696
17500000,1090,2,2,2,1,4,16055.04587
13500000,712,2,2,1,1,3,18960.67416
30000000,1400,3,3,1,2,1,21428.57143
25500000,951,2,2,1,1,1,26813.88013
25000000,1030,3,2,1,1,1,24271.84466
32000000,1970,3,3,1,1,1,16243.65482
16000000,1650,4,3,1,1,1,9696.969697
55300000,1803,3,3,2,3,3,30671.10372
5200000,750,2,2,1,1,1,6933.333333
16500000,1150,2,2,3,1,1,14347.82609
31600000,1273,2,2,1,1,1,24823.25216
33500000,1605,2,3,4,1,2,20872.27414
5000000,800,2,2,1,1,2,6250
29900000,1315,3,3,1,3,3,22737.64259
6300000,890,2,2,2,1,2,7078.651685
16000000,1650,3,3,3,1,1,9696.969697
21000000,1150,2,2,1,1,2,18260.86957
42000000,950,2,2,1,1,2,44210.52632
5500000,1100,2,2,1,1,1,5000
45000000,1350,3,3,1,1,1,33333.33333
26000000,1250,3,2,1,1,1,20800
230000000,2555,3,3,1,2,2,90019.56947
16400000,885,2,2,1,1,1,18531.07345
17000000,795,2,2,1,1,1,21383.6478
15000000,1017,2,2,1,1,2,14749.26254
26000000,1090,2,2,1,1,2,23853.21101
39000000,1350,2,2,1,1,5,28888.88889
14500000,850,2,2,1,1,1,17058.82353
15000000,634,2,2,1,1,3,23659.30599
14500000,811,2,2,1,1,1,17879.16153
34500000,1400,3,3,2,1,2,24642.85714
38500000,1112,2,2,1,2,1,34622.30216
4300000,795,2,2,3,1,2,5408.805031
23000000,1200,3,3,1,1,1,19166.66667
62500000,1600,4,5,1,2,2,39062.5
20000000,750,2,2,1,1,2,26666.66667
14500000,925,2,2,1,1,1,15675.67568
11000000,920,2,2,2,1,2,11956.52174
26000000,850,2,2,1,1,5,30588.23529
20000000,900,2,2,2,1,2,22222.22222
29500000,1200,3,2,1,1,1,24583.33333
23500000,1155,2,2,1,1,1,20346.32035
37500000,1180,2,3,2,1,2,31779.66102
19500000,820,2,2,4,1,1,23780.4878
16000000,890,2,2,1,1,1,17977.52809
27500000,1250,3,2,1,2,2,22000
46500000,1580,3,4,1,1,1,29430.37975
47500000,1400,2,2,1,1,2,33928.57143
15000000,1000,2,2,1,1,1,15000
45000000,1790,3,3,1,1,2,25139.6648
33000000,925,2,2,1,2,2,35675.67568
90000000,2650,4,4,6,2,4,33962.26415
24000000,1200,3,4,1,2,1,20000
42000000,1100,2,3,1,1,2,38181.81818
16800000,685,2,2,1,1,2,24525.54745
26000000,1500,3,3,1,1,2,17333.33333
42500000,1356,4,4,1,1,1,31342.18289
27500000,1080,2,2,1,1,0,25462.96296
95000000,2450,4,4,4,2,2,38775.5102
45000000,1250,2,2,1,1,1,36000
9900000,1100,3,3,1,1,1,9000
90000000,2500,3,3,4,2,3,36000
215000000,5500,6,6,2,1,1,39090.90909
30000000,1400,4,4,1,1,2,21428.57143
90000000,2000,4,3,1,1,1,45000
24500000,960,2,2,1,1,2,25520.83333
45000000,1300,3,4,1,1,1,34615.38462
160000000,4100,4,5,2,1,1,39024.39024
110000000,3200,3,3,1,4,1,34375
110000000,5113,4,6,1,4,5,21513.78838
19000000,830,2,2,1,1,2,22891.56627
16500000,1100,3,2,1,1,1,15000
32000000,1500,5,3,1,1,1,21333.33333
42500000,2052,4,3,7,3,1,20711.50097
3500000,620,2,2,1,1,1,5645.16129
20000000,638,2,2,1,1,1,31347.96238
13000000,650,2,2,1,1,1,20000
13900000,535,2,2,1,1,1,25981.30841
16000000,900,2,2,1,1,1,17777.77778
27000000,1500,3,3,1,1,1,18000
32500000,1585,2,2,1,2,3,20504.73186
30000000,900,2,2,1,1,1,33333.33333
26000000,979,2,2,1,1,2,26557.71195
36000000,1850,3,3,1,1,3,19459.45946
55000000,1725,3,3,1,2,2,31884.05797
30000000,2100,2,3,1,2,1,14285.71429
19000000,900,2,2,1,1,1,21111.11111
19500000,940,2,2,1,1,2,20744.68085
45000000,1150,2,3,1,1,1,39130.43478
115000000,3150,4,4,1,3,4,36507.93651
20500000,1125,2,2,1,1,2,18222.22222
36300000,1832,3,3,1,2,2,19814.41048
4600000,980,2,2,1,1,1,4693.877551
130000000,2844,4,4,1,3,4,45710.26723
21500000,900,2,2,1,1,2,23888.88889
18000000,850,2,2,1,1,2,21176.47059
130000000,3600,8,5,1,1,1,36111.11111
37500000,923,2,2,1,1,1,40628.3857
7950000,1020,2,2,4,1,2,7794.117647
41500000,875,2,2,1,1,1,47428.57143
22600000,1250,2,2,1,1,3,18080
21000000,1050,3,2,1,1,1,20000
22000000,1300,2,2,4,1,1,16923.07692
40000000,1000,2,2,1,1,1,40000
23900000,1600,3,3,1,1,2,14937.5
24000000,700,2,2,1,1,2,34285.71429
21000000,850,2,2,2,1,1,24705.88235
50500000,1705,3,3,1,1,3,29618.76833
30000000,1000,3,2,1,1,1,30000
37500000,1258,2,2,1,1,1,29809.22099
40000000,1300,2,2,3,1,3,30769.23077
100000000,2790,4,4,2,2,3,35842.29391
18500000,1650,3,3,1,1,1,11212.12121
12500000,935,2,2,2,1,1,13368.98396
32000000,1500,3,3,1,1,1,21333.33333
42500000,1542,3,2,3,2,3,27561.6083
15000000,980,2,2,1,1,3,15306.12245
17000000,1175,2,2,3,1,2,14468.08511
210000000,6200,5,6,2,1,1,33870.96774
165000000,5000,7,7,2,3,2,33000
42600000,1300,3,3,1,1,2,32769.23077
15500000,1340,3,3,1,1,2,11567.16418
23000000,1215,2,2,1,3,1,18930.04115
5000000,800,2,2,1,1,1,6250
32000000,1296,3,2,2,1,4,24691.35802
21500000,900,2,2,1,2,2,23888.88889
28000000,1550,3,3,1,2,3,18064.51613
75000000,2250,3,3,1,1,2,33333.33333
13000000,900,2,2,2,1,1,14444.44444
45000000,2000,3,3,1,2,1,22500
30000000,1140,3,2,1,1,1,26315.78947
14400000,991,2,2,1,1,1,14530.77699
29900000,850,2,2,1,1,3,35176.47059
33000000,1295,3,3,1,1,3,25482.62548
135000000,3200,5,5,1,5,2,42187.5
52500000,2095,4,4,3,2,4,25059.66587
36000000,1100,2,2,1,1,1,32727.27273
7000000,945,2,2,2,1,2,7407.407407
14500000,900,2,2,1,1,2,16111.11111
9500000,1200,3,2,1,1,1,7916.666667
29700000,1180,3,3,1,2,2,25169.49153
37500000,1000,2,2,2,1,1,37500
18500000,925,2,2,1,1,4,20000
13000000,950,2,2,1,1,2,13684.21053
21000000,1050,2,2,1,1,1,20000
44500000,2280,3,3,5,1,1,19517.54386
28500000,1400,3,2,1,1,1,20357.14286
13500000,1200,2,3,1,1,1,11250
5700000,855,2,2,2,1,1,6666.666667
72000000,1886,3,3,1,2,2,38176.03393
43000000,2250,4,4,6,1,2,19111.11111
145000000,3780,4,6,1,1,1,38359.78836
23500000,700,2,2,1,1,1,33571.42857
19000000,1155,2,2,1,1,1,16450.21645
24500000,1350,3,2,1,1,2,18148.14815
32500000,1250,3,3,2,1,2,26000
32500000,1850,4,4,6,2,2,17567.56757
27200000,820,2,2,3,1,6,33170.73171
25000000,1500,3,3,1,1,2,16666.66667
29000000,1100,2,2,2,1,2,26363.63636
46000000,2815,4,4,2,2,4,16341.0302
31000000,1440,3,3,4,1,1,21527.77778
32000000,1400,3,3,1,2,1,22857.14286
41000000,1600,3,3,1,1,1,25625
18100000,900,2,2,3,1,1,20111.11111
87500000,1740,3,4,3,1,1,50287.35632
22500000,1150,2,2,2,2,3,19565.21739
35000000,1200,3,3,1,1,1,29166.66667
23500000,844,2,2,1,2,3,27843.6019
30000000,1800,3,3,4,2,6,16666.66667
12500000,1031,2,2,1,1,3,12124.15131
79500000,2200,4,4,1,2,2,36136.36364
27000000,1250,3,3,2,1,1,21600
125000000,2900,4,4,1,4,6,43103.44828
10200000,850,2,2,1,1,1,12000
30000000,900,2,2,1,1,1,33333.33333
30000000,1034,3,3,1,2,5,29013.53965
18000000,1100,2,2,1,1,1,16363.63636
60000000,1500,3,4,1,1,2,40000
16800000,850,2,2,2,1,1,19764.70588
69000000,3195,5,5,4,4,4,21596.24413
195000000,1950,3,4,1,1,1,100000
22500000,1566,2,2,1,1,4,14367.81609
70000000,2060,3,3,2,3,3,33980.58252
12900000,1220,3,2,4,1,1,10573.77049
22600000,1500,3,3,1,1,1,15066.66667
14500000,920,2,2,1,1,2,15760.86957
55000000,3500,6,6,6,1,1,15714.28571
29500000,1450,3,3,1,2,3,20344.82759
14500000,800,2,2,1,1,4,18125
44900000,1820,3,3,2,2,2,24670.32967
